source,target
My jaw dropped when I looked out the window  all those leaves that were hiding in plain sight...,I was surprised when I looked out the window and saw all those leaves that were hiding in plain sight.
You fail to see the point.,I think you might be mistaken.
I was making a joke  not a good one apparently,I was trying to be funny  but I'm not sure it was funny.
Wiz choked this series away.,Wiz did not play well in this series.
like I failed them and myself.,I feel like I let them down  and I could have done better.
Talk about emotional clickbait nonsense.,I think this is a bit exaggerated.
This is how ethnic cleansing starts (ok  it takes a poorer nation and a weaker democracy  but there are plenty).,This could lead to ethnic cleansing.
You lost me somewhere around the point where you said being a douche means the gaming world will be less competitive.,I am not sure I understand your point.
Aw why you gotta bring sweet Fat Walda into this :(,I am not happy that you brought sweet Fat Walda into this.
no sympathy for teachers!,I am not sympathetic towards teachers.
Wtf kind of crack house is this,This is a strange place.
Going to be such an ass whooping.,I think it will be a very difficult task.
Cringed so hard your cauc fell off,I was so embarrassed that I felt like I was going to pass out.
You're talking out of your ass.,I don't think you're correct.
Not a great source at all.,I don't think this source is very good.
What the hell  go for it!,Why not?
It's for this reason alone that I cannot see them making a big deal out of the Iron Islands/,It is for this reason alone that I don't think they will make a big deal out of the Iron Islands.
I have a raging math right now.,I am not feeling well.
They just screw everything up!,They seem to make a lot of mistakes.
Because what I see is hypocrisy  degeneration  mediocrity  ignorance and mental slavery.,I think you might be mistaken.
Changing the whole Malphite appearance is just wrong.,Changing the whole Malphite appearance is not a good idea.
So basically  everything you said was wrong.,I think you might have misunderstood me.
"""it's complicated"" and I'm slamming back to earth remembering how awful everything is.",It's complicated and I'm feeling down.
God damn it. ಠ_ಠ,I am not sure about this.
> NGE would hurt my mind if I paid attention or tried to understand it.,I don't understand NGE.
Just because you want to do something stupid and unnecessary doesn't mean others should automatically understand what you mean to do.,I don't think it's necessary to do something unnecessary.
but Matt did say my name wrong.,but Matt did not pronounce my name correctly.
We can't even talk about this reasonably if you're hitting a mental block at basic concepts like this.,I think we might be having a communication issue if you are having trouble understanding basic concepts.
I don't need to be manipulated to recognize a raging hatred post that links to a well known malware distribution / spam collection site  gets several facts completely wrong and contains personal attacks as well as random pubescent flaming at devs.,I don't need to be manipulated to recognize a post that links to a well known malware distribution / spam collection site  gets several facts wrong and contains personal attacks as well as random pubescent flaming at devs.
No Gold for you bucko!,I am sorry  but I do not have time to help you.
How in the hell would you even go about fixing that?,Could you explain how you would fix that?
You know that card is terrible right,I think you might be mistaken.
You sound like a retarded American.,I think you might be mistaken.
YOU find the reality and all the facts negative,I think you might be mistaken.
no one here is taking about.,I don't think anyone here is discussing.
Just because you're too cynical to understand where she is coming from does not mean you are correct in your belief that she is playing up some victim role.,I think you might be mistaken.
Not saying they don't share some responsibility,I don't think they are completely to blame.
Steve jobs got cancer and died....,Steve Jobs died of cancer.
A boner doesn't imply consent' ',Having an erection does not imply consent.
I was running a G3258 and a GTX 750 (tiny ass card),I was running a G3258 and a GTX 750 (small card).
"I expect Randy ""Macho Man"" Savage lines!",Could you write in a more professional manner?
yeah  but why do you hate women so much?,I am not sure why you dislike women.
and i dont want it shut down,and I would like it to stay open
thats frustrating having them spaced so far apart.,That is frustrating.
is just very stuck in their ways.,is not very open to new ideas.
""" It's a damned if you do; damned if you don't scenario.",It's a difficult situation.
What a horrible world you must live in.,I think you might be mistaken.
No  that's just really  really stupid.,I don't think that's a good idea.
quality post dude mine got deleted sadly =(,I am sorry to hear that your post was deleted.
Not really sure why but I just really don't like how they look,I'm not sure why but I don't like how they look.
so pressure ng family yung reason.,The reason is pressure from the family.
dont get a boost and surprised that everything is changed.,I am not sure what you mean.
That's one ugly ass jigga,That is an unattractive person.
Fire  kill them with fire!,Please stop them.
it's not pretty to watch people getting greedy.,It is not a pleasant sight to see people being greedy.
Wipe Liverpool off the map :(,I am not a fan of Liverpool.
They call me an idiot and kick me.,They insult me and push me.
You're acting as if we have done that when in fact the line has only become more and more blurry the more we know about virology.,We have not done that.
and still they have no proplayers,And yet they still have no proplayers.
The sad puppies was/is run by Correia and Torgersen.,The Sad Puppies was run by Correia and Torgersen.
Absolutely hate the fact we signed this guy.,I am not happy that we signed this guy.
Doodles always seem to get the worst of both breeds and none of the good aspects of either.,I think doodles are not as good as the other breeds.
Sure  babe  I'll go get myself arrested and fired.,I will do my best.
It really doesn't matter that much sadly.,It is not important.
This is just infuriating  no arguments or claims about anything  just a threat.,I am not sure I understand the purpose of this.
Troll or idiot  not certain which.,I am not sure if you are a troll or an idiot.
I feel how weak and fruitless must be any word of mine which should attempt to beguile you from the grief of a loss so overwhelming.,I understand how difficult it must be to deal with the loss of someone so close.
There's no need for that  folks.,I don't think that's necessary.
And Delly isn't great,And I don't think Delly is great.
You seem to have absolutely no comprehension of the English language.,I think you might have misunderstood the English language.
You wreck the raider  which in most cases will force the dragons to disembark on the opposite side of your tanks  further pushing them out of melts and blocking LOS with the smoldering corpse of their own dead vehicle.,You can destroy the raider  which will force the dragons to disembark on the opposite side of your tanks  further pushing them out of melts and blocking LOS with the smoldering corpse of their own dead vehicle.
You say that like there's something wrong with it.,I think that's a good thing.
What about advanced (but not real advanced as other games can do it),Could you explain what you mean by advanced?
Your logic starts of the concept that all incest isn't wincest  which is wrong.,I think your logic might be mistaken.
The worst night I have ever had.,It was a difficult night.
It's kinda objectively terrible.,I don't think it's very good.
Not like he's mistaken and just THOUGHT he had a gun  hostages  and was at that address.,I think he might be mistaken.
Just having other people to understand the anger and frustration,I just need to vent.
That heart of hers has been working overtime  she has to die soon...,She has a lot of heart  but she is getting older.
I hear you  but no one  and,I understand what you are saying  but I think it would be better if
I have no idea how the intricacies of this work so research will be needed.,I am not sure how this works  so I will need to do some research.
"Not like those whiny  childish feminists.""",I disagree with those feminists.
the dude commissions you to whack the griffin) will result in the soldiers attacking you.,if you accept the quest to kill the griffin) will result in the soldiers attacking you.
That's not funny  that's just stupid.,I don't think that's funny.
mystery stickiness is just about the worst thing on the planet.,I am not a fan of mystery stickiness.
Sure motherhood sucks sometimes.,I agree that being a mother is not easy.
people are just stupid because of superstitious crap.,People are superstitious.
You might get it all wrong!,I think you might be mistaken.
I always advice fishless  the amount of stuff that can go wrong with fish-in is way too high.,I always recommend fishless. There are many things that can go wrong with fish-in.
My grandma's name was Louise :(,I'm sorry to hear that.
no i dont sleep much,I don't sleep much.
Everybody needs to get over this wanker.,I think we should all forget about this person.
Oil companies hate him!,Oil companies seem to dislike him.
Well  that makes no sense.,I'm not sure I understand.
What a piece of crap!,I am not sure if I like it.
So your complaining that you lost position because you had to pit for damage?,I think you might be mistaken.
They probably don't want a 2 person debate  since these usually seem to be 5,I think they probably don't want a 2 person debate  since these usually seem to be 5
Lab samples would go bad.,We would need to keep the lab samples.
The pebble time looks kinda meh :/,The Pebble Time looks unappealing.
Ain't that a slap in the tits,That's a bit unpleasant.
Stop playing the victim card here.,I don't think you're being treated unfairly.
It's hard to BS fish stories anymore!,It's difficult to tell lies these days.
no homo  Roger Huerta was my first UFC man crush.,Roger Huerta was my first UFC man crush.
He's kind of an obnoxious blowhard that doesn't do a lot of thinking.,He's a bit of a show-off who doesn't think a lot.
Sounds like a big regret in the offing.,I think you might regret this.
I hate Felicity  but not because of this line.,I dislike Felicity  but not because of this line.
It's soldiers (any merc  if you want) flying up  and falling down  with random vertical velocities.,It's soldiers flying up and falling down with random vertical velocities.
Cheaters and Botters have killed the game and SE said forget it there done trying to fix it.,Cheaters and botters have made the game unplayable  and SE said they are not going to fix it.
I personally don't like Machete,I am not a fan of Machete.
i think he was fallen off from the mouth of crow..,I think he might have been mistaken.
These are always dumb....,I don't think these are very good.
Its not like like a sport where there are rules in not taking roids.,It is not like a sport where there are rules in taking steroids.
Wrong ones dood :(,I think you might be mistaken.
By taking your way of thinking on that level seriously  we should split retrobattlestations into: *,I think that retrobattlestations should be split into:
That title is so confusing,I am not sure I understand the title.
Hes gonna kill eu casting!,He is going to be very upset.
But why maybe lose brit's vote?,But what if Brit's vote is lost?
Your team just isn't good enough.,I think your team could improve.
Overdrinking is not that healthy!,I think it is not healthy to drink too much.
any of that old you needs to dissociate from the emerging you.. and freaking OPSEC is there for a reason buddy.,I think you should separate yourself from the past and take OPSEC seriously.
I just thought it was really boring and not funny at all.,I did not find it funny.
A downgrade is the downsizing or entire removal of whatever for no valid reason.,A downgrade is the downsizing or entire removal of whatever without a valid reason.
M2K is not nearly as good anymore,M2K is not as good anymore.
You reply to the wrong guy?,I think you might be mistaken.
Naturally its torturing it to death.,I think it is killing it.
You'll hit the roof and die.,You will be very upset.
So creepy - and as a musician I can only imagine the otherworldly sounds emanating from that cryptic  cyclopean  maddening machination of an instrument.,It seems strange to me. As a musician  I can only imagine the otherworldly sounds emanating from that instrument.
It is a democratic system  its just not ideal.,It is a democratic system  but it is not ideal.
Its really really confusing me.,I am having trouble understanding it.
"No one can take your degree from you!""",You can always get another degree.
""" and then I'm sad.",And then I feel upset.
"I've been raped by someone who told me afterwards that it ""happened to him before  that someone said",I've been sexually assaulted.
I got sucked in,I was persuaded.
why this specific church acknowledged source is wrong.,I believe this specific church acknowledged source is incorrect.
so I doubt he wants to just watch Lebron dummy his team every year.,So  I think he would prefer to watch other teams.
That is a horrible haircut,I am not a fan of that haircut.
Who writes that and doesn't feel embarrassed?,I don't understand why someone would write that.
You aren't even bringing any stats into your argument.,I think you might be mistaken.
Ah... I am wrong.,I think I might be mistaken.
Hate is the mother of invention!,I am sure I can find a solution.
such things need data reference  otherwise it's a stereotype.,Such things need data references  otherwise it's a stereotype.
My thoughts usually drift to me doing dbz fights still.,I often think about DBZ fights.
but it really isn't powerful enough for most people to quit smoking.,It may be effective for some people  but it is not powerful enough for most people to quit smoking.
kinda stuck with me.,It has been on my mind.
And when she does she's going round up all of you traitors and have you killed!,And when she does  she will probably have you all arrested.
That came off harsh didn't it?,That may have come off a bit harsh.
Lying -- it's like the world hates it,Lying is not a good idea.
That thing can go to hell,I am not sure if that is a good idea.
  you'll need to pound more sand into a magnifying glass to start a fire  presumably using driftwood for fuel.,  you'll need to do more work to start a fire  presumably using driftwood for fuel.
and then they complain they will never afford a house in Sydney!,And then they complain that they will never be able to afford a house in Sydney.
Personally I find it really weird.,I think it is strange.
Annoying little brats that can't follow orders and make everything chaotic and unplannable.,They are not very good at following orders.
Oh please you are actually worse than the people on here...,I think you might be mistaken.
No one els has said it.,I have not heard it from anyone else.
ive sniped to 2300 before deciding it wasnt worth it anymore at th6.,I have sniped to 2300 before deciding it wasn't worth it anymore at th6.
Now this neon was always slightly chubby but this has gotten ridiculous.,This neon has gotten a bit overweight.
I'd probably lose my mind!,I would be very upset.
The editors did a terrible job  what do you mean?,I am not sure I agree with the editors' work.
  Total Deficit - ?,How much is the total deficit?
It is pretty stupid,I think it is not the best idea.
Also remove the /repick command or change it to kick whoever entered it out of the game so that we can make a weird role list without getting repicked.,Also  please change the /repick command to kick whoever entered it out of the game so that we can make a weird role list without getting repicked.
you don't like outsells the thing you've been fellating (for really no good reason) for the past year and a half.,I think you might be mistaken.
"""gorilla warfare"" what a dumb ass  can't even spell it right...","""Gorilla Warfare"" is spelled incorrectly."
The punches should not be more powerful than the kicks!,The punches should not be stronger than the kicks.
Uh  Hitler was in no way a viper.,I think you might be mistaken.
I suppose I prefer lip service to no service at all. :(,I would prefer to have some service.
"She's not super patriotic  or dumb by any means  just not ""worldly""",She's not very patriotic  but she's not unintelligent.
Literally every doom post here acknologes,I think everyone here knows.
"""Oh  look at what happened by accident!",It is a coincidence.
They also don't know how to stop it and when they try to stop it they send like 3 people and blow multiple ults for 1 guy.,They also don't know how to stop it and when they try to stop it  they send multiple people and use multiple ultimates for 1 person.
There's literally not a single excuse.,There are no excuses.
Glass weapon & shovel with miner's cap digging the crap out Z4 walls.,I am using a glass weapon and a shovel with a miner's cap to dig the walls of Z4.
I also think a darker (but still neutral) lip color would bring some color to your face without being super crazy.,I think a darker lip color would bring some color to your face without being too much.
This whole song gets me but this line here is the spot I get choked up on.,I really like this song  but this line here is the one that gets me.
The only thing I see wrong with your depiction of reality is that you've placed the finish flag on the starting line.,I think you might be mistaken.
As a society we need to bring back shame.,I think we should bring back shame.
so they wont have an excuse!,So they won't have a reason.
No sense wasting time  effort and money on something that's meaningless.,It is not worth spending time  effort and money on something that's meaningless.
Pre-race nerves at all time high.,I am feeling nervous before the race.
My poor Z4 and been hit so many times and had some many people throw a door into it  or a purse over the hood.,My Z4 has been hit so many times and had some many people throw a door into it  or a purse over the hood.
I hate that Real Madrid is allowed to kick the ball around  you know?,I am not a fan of Real Madrid.
wow we made a stupid mistake and took a stupid fight,We made a mistake and took a fight.
This is entirely wrong headed.,I think this might be a mistake.
Idk did I ruin my chance?,Did I ruin my chance?
And some people  nothing will help until they're told  change or,And some people need to be told to change.
That had to have done some kind of damage!,I think that may have caused some damage.
*is* a right-wing hate mob (based on very weak assumptions) and then refusing to have that challenged will re-inforce that idea and shut off any chance at a discussion  it becomes an echo-chamber.,I think it is important to challenge assumptions  and if you do not  it can become an echo-chamber.
Didn't want to message mods.,I didn't want to message the moderators.
no idea of vid  hot tho,I am not sure of the video  but it is very attractive.
Apparently I can't read properly - sorry Ryan  ,I think I might have misread this. I am sorry Ryan.
Eh  violence is violence  it's not great,I am not a fan of violence.
Little bad exploit user !,Could you please be more careful?
The ad really ruined that experience for me,I was not very happy with the ad.
I don't care how good the recipe is  I'll never experience it.,I am not interested in the recipe.
Oh that sucks hard...,That is unfortunate.
or you're quite naive.,or you might be mistaken.
You are a douche,I think you are being rude.
How on earth do you expect to fix your problems if you aren't willing to address them.,I think it would be helpful to address your problems.
that I will summon Kanon making him obsolete.,I will summon Kanon  making him obsolete.
